Food,primary_loss,retail_loss,avoidable_consumer_loss,primary_weight,retail_weight,consumer_weight
Plain whole milk,0,12,20,44.74920563316358,44.74920563316358,39.37930095718394
2 percent milk,0,12,20,59.73124826752275,59.73124826752275,52.56349847542002
1 percent milk,0,12,20,24.863505982951942,24.863505982951942,21.87988526499771
Skim milk,0,12,20,24.78642655977225,24.78642655977225,21.81205537259958
Whole flavored milk,0,12,45,1.7182385992410676,1.7182385992410676,1.5120499673321395
Lowfat flavored milk,0,12,45,12.473157756397091,12.473157756397091,10.97637882562944
Buttermilk,0,12,18,1.509817497205221,1.509817497205221,1.3286393975405946
Yogurt,0,12,21,14.027444675119753,14.027444675119753,12.344151314105382
Cheddar cheese,0,6,11,9.58639254932863,9.58639254932863,9.011208996368913
Other American cheese,0,6,28,3.6590862620913422,3.6590862620913422,3.4395410863658618
Provolone cheese,0,6,14,0.6896013962980144,0.6896013962980144,0.6482253125201336
Romano cheese,0,6,8,0.13943090707546252,0.13943090707546252,0.13106505265093477
Parmesan cheese,0,6,8,0.4451630161404453,0.4451630161404453,0.4184532351720186
Mozarella cheese,0,6,31,10.683132903143479,10.683132903143479,10.04214492895487
Ricotta cheese,0,6,12,0.8928257603194928,0.8928257603194928,0.8392562147003232
Other Italian cheese,0,6,16,3.111637215530142,3.111637215530142,2.9249389825983334
Swiss cheese,0,6,50,1.092164015404962,1.092164015404962,1.0266341744806644
Brick cheese,0,6,40,0.037090802697977536,0.037090802697977536,0.03486535453609888
Muenster cheese,0,6,35,0.45445148848802697,0.45445148848802697,0.42718439917874534
Blue cheese,0,6,43,0.3036633926358564,0.3036633926358564,0.285443589077705
Other miscellaneous cheese,0,6,42,1.276433445299662,1.276433445299662,1.1998474385816822
Regular cottage cheese,0,12,31,1.0282025754406656,1.0282025754406656,0.9048182663877857
Lowfat cottage cheese,0,12,4,1.228307593990226,1.228307593990226,1.0809106827113988
Ice cream,0,12,24,12.798922181560181,12.798922181560181,11.26305151977296
Ice milk,0,12,24,6.792039936889613,6.792039936889613,5.976995144462859
Other frozen,0,12,33,3.3457590914684947,3.3457590914684947,2.944268000492275
Evap cond canned whole milk,0,12,15,1.4175351061286383,1.4175351061286383,1.2474308933932017
Evap cond bulk whole milk,0,12,15,0.5836226238905763,0.5836226238905763,0.5135879090237071
Evap cond skim milk,0,12,15,5.336743590776394,5.336743590776394,4.696334359883227
Dry whole milk,0,1,41,0.16729170708048383,0.16729170708048383,0.165618790009679
Nonfat dry milk,0,1,41,3.616265466436287,3.616265466436287,3.5801028117719245
Dry buttermilk,0,1,41,0.33703538752269496,0.33703538752269496,0.333665033647468
Half and half,79.5,12,12,4.016697418177307,0.8234229707263476,0.7246122142391859
Half and half,79.5,12,12,4.016697418177307,0.8234229707263476,0.7246122142391859
Eggnog,67.2,12,51,0.426203700563002,0.13979481378466463,0.12301943613050487
Eggnog,67.2,12,51,0.426203700563002,0.13979481378466463,0.12301943613050487
Butter,0,7,35,5.503056815696572,5.503056815696572,5.117842838597811
Margarine,0,7,35,3.5377671461938958,3.5377671461938958,3.2901234459603232
Lard,0,50,35,1.5487891682060433,1.5487891682060433,0.7743945841030216
Edible beef tallow,0,50,35,3.2847130704203913,3.2847130704203913,1.6423565352101956
Shortening,0,21,35,15.32274137040982,15.32274137040982,12.104965682623758
Salad and cooking oils,0,21,15,53.566048505416084,53.566048505416084,42.31717831927871
Other edible fats and oils,0,5,25,1.6725362996606448,1.6725362996606448,1.5889094846776126
Half and half,0,12,12,4.016697418177307,4.016697418177307,3.53469372799603
Half and half,0,12,12,4.016697418177307,4.016697418177307,3.53469372799603
Light cream,0,12,12,8.22519846221933,8.22519846221933,7.238174646753011
Heavy cream,0,12,12,2.793462340564846,2.793462340564846,2.4582468596970646
Sour cream,0,12,8,4.076645057710653,4.076645057710653,3.587447650785375
Cream cheese,0,12,13,2.39575788355925,2.39575788355925,2.10826693753214
Eggnog,32.8,12,51,0.426203700563002,0.28640888677833737,0.2520398203649369
Eggnog,32.8,12,51,0.426203700563002,0.28640888677833737,0.2520398203649369
Fresh oranges,3,11.6,36,10.465769123347073,10.151796049646661,8.974187707887648
Fresh tangerines,5,20.4,52,4.1805344108336415,3.9715076902919595,3.1613201214724
Fresh grapefruit,3,12.8,20,2.3703926549671728,2.2992808753181575,2.004972923277433
Fresh lemons,4,7,44,3.9420681131745745,3.7843853886475913,3.51947841144226
Fresh limes,5,8.31746274505006,44,2.567053259661657,2.4387005966785744,2.2358625830865204
Fresh apples,4,8.6,20,16.138242194411095,15.492712506634652,14.160339231064071
Fresh apricots,9,35.1,10,0.1026249779196519,0.09338872990688324,0.06060928570956722
Fresh avocados,6,9.3,32,5.653869168857442,5.314637018725995,4.820375775984478
Fresh bananas,0,8,20,26.982613216505726,26.982613216505726,24.824004159185268
Fresh blueberries,8,5.246767404572406,8,1.3280759621237783,1.221829885153876,1.157723313000298
Fresh cantaloupe,8,12.2,43,7.514728999602638,6.913550679634427,6.070097496719027
Fresh cherries,8,3.9,51,1.500918490879212,1.380845011608875,1.326992056156129
Fresh cranberries,4,6,26,0.06666752825217298,0.06400082712208606,0.0601607774947609
Fresh grapes,9,7.6,33,7.628763862547577,6.942175114918295,6.414569806184504
Fresh honeydew,8,22.8,43,1.4807150380305314,1.362257834988089,1.0516630486108047
Fresh kiwi,9,12.7,45,0.5448137302392516,0.495780494517719,0.4328163717139687
Fresh mangoes,5,14.465165583510988,13,2.4883355411215895,2.36391876406551,2.0219740005837474
Fresh papaya,5,54.8906790560543,20,0.9663375872510771,0.9180207078885232,0.4141129074533161
Fresh peaches,5,11.9105448778321,42,3.8616699171006896,3.668586421245655,3.231637789161137
Fresh pears,5,17.5789486398618,20,2.7808710323097685,2.64182748069428,2.1774219847092775
Fresh pineapple,5,14.62911588984,37,6.418809799273194,6.097869309309534,5.205804941239656
Fresh plums,5,17.3165544901247,27,0.62482859804213,0.5935871681400234,0.49079832272266816
Fresh raspberries,8,9.7539796373462,20,0.3238539951770237,0.2979456755628618,0.26888411503810666
Fresh strawberries,8,9.7539796373462,35,7.968658276285508,7.331165614182667,6.616085212995163
Fresh watermelon,10,16.7773349312613,13,13.882465535990598,12.494218982391537,10.398022016670481
Canned apples,20,6,8,3.1736654825982336,2.538932386078587,2.3865964429138717
Canned apricots,NA,6,27,0.10925501966569952,0.07587154143451355,0.07131924894844274
Canned sweet cherries,NA,6,32,0.013650155181544563,0.01142272400129252,0.010737360561214968
Canned tart cherries,NA,6,32,0,0,0
Canned peaches,16.666666666666664,6,9,2.6398633314736113,2.199886109561343,2.0678929429876622
Canned pears,0,6,9,2.050472695841651,2.050472695841651,1.927444334091152
Canned pineapple,41.48624926857812,6,9,3.946152780758181,2.309042001613915,2.17049948151708
Canned plums,33.774834437086085,6,26,0.008081852373910502,0.005352220115172519,0.0050310869082621675
Canned olives,5.660377358490576,6,25,1.2227659836019074,1.1535528147187804,1.0843396458356536
Frozen blackberries,2.9126213592232997,6,40,0.08670548360747679,0.08418008117230756,0.07912927630196911
Frozen blueberries,2.9126213592232997,6,29,0.45141664025062256,0.43826858276759473,0.41197246780153907
Frozen raspberries,4.761904761904767,6,24,0.40349530337696793,0.384281241311398,0.36122436683271414
Frozen strawberries,NA,6,24,1.8367701297703316,2.063786662663294,1.9399594629034962
Frozen other berries,12.280701754385959,6,30,0.06626719613245503,0.058129119414434244,0.054641372249568186
Frozen apples,40.11976047904191,6,35,0.3063150360199372,0.18342217725744744,0.1724168466220006
Frozen apricots,9.090909090909093,6,35,0.039635611751661914,0.036032374319692646,0.033870431860511085
Frozen sweet cherries,15.254237288135586,6,29,0.27026185919303675,0.22903547389240403,0.21529334545885978
Frozen tart cherries,9.90990990990992,6,29,0.4692564814704264,0.422753586910294,0.39738837169567637
Frozen peaches,19.999999999999996,6,35,0.6361168339078559,0.5088934671262848,0.4783598590987077
Frozen plums,15.254237288135586,6,10,0.003509950190234178,0.00297453405952049,0.0027960620159492608
Dried apples,87.5,6,11,0.8773107824363388,0.1096638478045423,0.10308401693626977
Dried apricots,82.01438848920863,6,11,0.6129500017715389,0.11024280607401782,0.10362823770957674
Dried dates,6.542056074766355,6,25,0.3524869523721469,0.3294270582917261,0.30966143479422253
Dried figs,65.98639455782313,6,25,0.21062569582187365,0.07164139313669171,0.0673429095484902
Dried peaches,83.37489609310057,6,11,0.1770562685923012,0.029435788627149018,0.027669641309520078
Dried pears,84.15213946117274,6,11,0.017116849471601196,0.0027126544329003494,0.0025498951669263286
Dried plums,61.53846153846154,6,11,1.0356631369261478,0.398331975740826,0.37443205719637646
Raisins,80.449121367735,6,26,6.016848198531563,1.1763466887825293,1.1057658874555776
Grapefruit juice,29.0014994034677,6,10,2.641252500930723,1.8752496726292236,1.7627346922714702
Lemon juice,66.3461538461539,6,10,3.9743294261272766,1.3378556994040212,1.2575843574397798
Lime juice,66.75,6,10,1.1701639228388638,0.38917869705462227,0.3658279752313449
Orange juice,35.132717746892,6,10,44.63632895783974,28.954373492507685,27.217111082957224
Apple juice,26.6666666666667,6,10,22.65626034743128,16.614590921449608,15.61771546616263
Cranberry juice,3.19999999999999,6,10,2.5976905900797953,2.5153984050365716,2.3644745007343775
Grape juice,19.0909090909091,6,10,3.7351956576343888,3.0221128502678236,2.840786079251754
Pineapple juice,41.3333333333333,6,10,3.1810632252484687,1.866223758812435,1.754250333283689
Prune juice,27.6923076923077,6,32,0.2648830561842169,0.19153082524089532,0.1800389757264416
Wheat flour,0,12,20,134.32963000491924,134.32963000491924,118.21007440432894
Rye flour,0,12,20,0.486199660571862,0.486199660571862,0.4278557013032385
Rice,0,12,33,20.427678477017945,20.427678477017945,17.976357059775793
Corn flour and meal,0,12,20,19.789847715736038,19.789847715736038,17.41506598984771
Corn hominy and grits,0,12,20,9.536040609137057,9.536040609137057,8.39171573604061
Corn starch,0,12,20,4.614213197969542,4.614213197969542,4.060507614213197
Oat products,0,12,14,4.695937971648304,4.695937971648304,4.132425415050507
Barley products,0,12,14,0.6237478235702711,0.6237478235702711,0.5488980847418385
Beef,33.099999999999994,4.34456467530322,20,81.50075453574667,54.52400478441452,52.15517413299021
Veal,31.499999999999993,25.4136004809274,20,0.39053882475586665,0.2675190949577687,0.19953286095500858
Pork,27.1,4.35660434682897,29,58.37725183035726,42.55701658433044,40.702975749936776
Lamb,34.199999999999996,12.2995372423047,20,0.951621086801462,0.6261666751153621,0.549151071710647
Chicken,39.800000000000004,3.97134972114226,15,94.07901679385277,56.63556810989937,54.38637163369955
Turkey,20.999999999999996,3.46101242865812,35,15.93834851991628,12.591295330733862,12.155509034408114
Fresh and frozen fish,0,8.69627407098074,40,5.548221817971909,5.548221817971909,5.065733242615122
Fresh and frozen shellfish,0,9.2715907106719,40,4.915139167870756,4.915139167870756,4.459427581365855
Canned Salmon,0,6,17,0.14315939323895407,0.14315939323895407,0.13456982964461683
Canned Sardines,0,6,36,0.21314842993355385,0.21314842993355385,0.2003595241375406
Canned Tuna,0,6,17,2.338270089569583,2.338270089569583,2.1979738841954077
Canned shellfish,0,6,17,0.3944836613695623,0.3944836613695623,0.3708146416873886
Other canned fish,0,6,17,0.35312650332275336,0.35312650332275336,0.33193891312338814
Cured fish,0,6,17,0.33403858422422616,0.33403858422422616,0.3139962691707726
Eggs,1.5000000000000013,9,23,33.26154840066045,32.762625174650545,29.813988908931996
Peanuts,0,6,4,6.7222720927280815,6.7222720927280815,6.318935767164397
Almonds,0,6,21,2.013445962374198,2.013445962374198,1.8926392046317462
Hazelnuts,0,6,20,0.05906960812628497,0.05906960812628497,0.05552543163870787
Pecans,0,6,14,0.42984343447682205,0.42984343447682205,0.4040528284082127
Walnuts,0,6,18,0.4702586641322311,0.4702586641322311,0.44204314428429725
Macadamia,0,6,8,0.10497615427795758,0.10497615427795758,0.09867758502128013
Pistachios,0,6,16,0.2675619712470165,0.2675619712470165,0.2515082529721955
Other tree nuts,0,6,18,0.8569579678957053,0.8569579678957053,0.805540489821963
Coconut,0,6,10,0.777830839419397,0.777830839419397,0.7311609890542332
Cane and beet sugar,0,11,34,66.58864394513604,66.58864394513604,59.26389311117108
Edible syrups,0,11,15,0.6600143018287066,0.6600143018287066,0.5874127286275488
Honey,0,11,15,1.0746274983583768,1.0746274983583768,0.9564184735389554
High fructose corn syrup,0,11,34,45.730464374666944,45.730464374666944,40.70011329345358
Glucose,0,11,34,12.531110464463495,12.531110464463495,11.152688313372511
Dextrose,0,11,34,2.675051416370981,2.675051416370981,2.380795760570173
Fresh artichokes,7,19.3056118815094,18,1.4598948158915646,1.357702178779155,1.0955894656372545
Fresh asparagus,9,9.4109954713757,18,1.447711659217272,1.3174176098877175,1.1934354982820785
Fresh bell peppers,8,7.7695411820477,39,10.74447667440214,9.884918540449968,9.116905723637839
Fresh broccoli,8,11.9542269949738,12,6.301994737467004,5.797835158469644,5.104748782831784
Fresh Brussels sprouts,8,18.756516925933,12,0.40806959649304797,0.37542402877360415,0.3050075572726635
Fresh cabbage,7,14.0755679492703,24,6.257127912015445,5.819128958174364,5.0000535076108665
Fresh carrots,3,5.1397840080097,34,7.944925254844191,7.7065774971988645,7.310476059432963
Fresh cauliflower,8,14.0075901231641,9,1.1753120016066936,1.0812870414781581,0.9298247846530103
Fresh celery,7,5.10302377475991,39,5.954327046732078,5.537524153460833,5.254942979376654
Fresh collard greens,12,37.4668487485905,38,1.1027110417731847,0.9703857167604025,0.6068127679838566
Fresh sweet corn,8,0.61154332315669,32,8.676354658197102,7.982246285541334,7.9334313913441825
Fresh cucumbers,8,6.13011977792862,32,7.120080653277607,6.5504742010153985,6.1489222864708415
Fresh eggplant,10,21.327620299272,26,0.8056795796686387,0.7251116217017748,0.5704625682793267
Fresh escarole,10,47.6831765657984,24,0.2506079081980546,0.22554711737824915,0.11799908715971005
Fresh garlic,19,7.42258441524368,43,2.2950134547628998,1.8589608983579489,1.720977956430958
Fresh kale,12,39.174414143471374,38,0.46407957176592857,0.4083900231540171,0.24840562416304382
Fresh head lettuce,7,8.7,24,15.940376956077285,14.824550569151874,13.534814669635661
Fresh leaf lettuce,7,13.9109936647382,24,11.924029661534897,11.089347585227454,9.546709145185664
Fresh lima beans,8,12,27,0.002838898609231561,0.002611786720493036,0.0022983723140338717
Fresh mushrooms,6,12.6995792794974,21,2.7409625487666367,2.5765047958406386,2.249299526652804
Fresh mustard greens,12,63.6432988732449,38,0.23787576868574592,0.2093306764434564,0.0761057284011622
Fresh okra,12,24.4180440912149,20,0.42253763087965157,0.3718331151740934,0.2810387411651454
Fresh onions,6,9.7567809666362,43,19.53704299747072,18.36482041762248,16.57300511455897
Fresh potatoes,4,6.49919130142251,16,34.539259610476975,33.1576892260579,31.00270757212523
Fresh pumpkin,10,11.2355582560672,69,5.036624653086564,4.532962187777907,4.023658580444622
Fresh radishes,3,21.0213182776589,47,0.3259128679187257,0.3161354818811639,0.24967963604631377
Fresh snap beans,6,18.5623250777396,24,1.6316353968082677,1.5337372729997716,1.2490399745470955
Fresh spinach,12,14.3939910051704,9,1.5545692770275352,1.368020963784231,1.1711081493082833
Fresh squash,10,12.4697135800385,25,4.643022433973608,4.178720190576247,3.6576457515001506
Fresh sweetpotatoes,10,14.1804367230522,44,6.889650867771002,6.200685780993902,5.321401457424767
Fresh tomatoes,15,13.1820886589992,7,20.78041339127261,17.66335138258172,15.334952743179237
Fresh turnip greens,12,40.9721435220628,38,0.2513573538570457,0.22119447139420023,0.13056635511170037
Canned asparagus,18,6,2,0.13269337661869696,0.1088085688273315,0.10228005469769161
Canned snap beans,40,6,24,2.9321432139365697,1.7592859283619418,1.6537287726602252
Canned cabbage,56,6,16,1.1525507578611134,0.5071223334588898,0.4766949934513564
Canned carrots,25,6,31,0.7744416454359703,0.5808312340769777,0.545981360032359
Canned sweet corn,27,6,7,5.851981939367986,4.27194681573863,4.0156300067943125
Canned cucumbers,60,6,3,2.9737351258304456,1.1894940503321783,1.1181244073122476
Canned green peas,34,6,24,0.7973585135685439,0.5262566189552389,0.49468122181792457
Canned mushrooms,35,6,9,1.0920776439077262,0.709850468540022,0.6672594404276206
Canned chile peppers,27,6,4,7.196930149381896,5.2537590090487845,4.938533468505858
Canned potatoes,29,6,28,0.7885428067821093,0.5598653928152977,0.5262734692463799
Canned tomatoes,59,6,28,66.51047006634695,27.269292727202256,25.63313516357012
Other canned vegetables,24,6,16,2.6682171405331543,2.0278450268051973,1.9061743251968855
Frozen asparagus,47.917,6,26,0.09481258012169919,0.049381236104784586,0.04641836193849751
Frozen snap beans,15.254,6,24,1.8971649741098828,1.6077714289591614,1.5113051432216116
Frozen broccoli,24.812,6,12,2.5593204108384264,1.924301830501196,1.8088437206711243
Frozen carrots,45.055,6,34,1.2100787021440587,0.664877742893053,0.6249850783194698
Frozen cauliflower,30.067,6,27,0.3377570560546451,0.236203642010695,0.22203142349005328
Frozen sweet corn,72.973,6,36,9.781821613222164,2.643732927405554,2.485108951761221
Frozen green peas,8.257,6,24,1.8882810465155249,1.732365680504738,1.6284237396744539
Frozen lima beans,4.76190476190477,6,27,0.38098315585630804,0.36284110081553145,0.34107063476659955
Frozen potatoes,50,6,16,48.01683280870983,24.008416404354914,22.56791142009362
Frozen spinach,30.07,6,34,0.6044856564657417,0.42271681956649315,0.39735381039250356
Misc frozen vegetables,33.3333,6,26,3.5328727091929513,2.3552496504195375,2.213934671394365
Dehydrated onions,89,6,4,1.2775725555483335,0.14053298111031665,0.13210100224369764
Dehydrated potatoes,86,6,4,13.831768243266747,1.9364475540573451,1.8202607008139045
Potato chips,75,6,4,17.58173937676576,4.39543484419144,4.131708753539954
Dry Peas and lentils,0,6,10,0.5790767569969415,0.5790767569969415,0.544332151577125
Dry black beans,0,6,10,0.7137297732200916,0.7137297732200916,0.6709059868268861
Dry great northern beans,0,6,10,0.1629931213979407,0.1629931213979407,0.15321353411406424
Dry lima beans,0,6,10,0.07519947910977576,0.07519947910977576,0.07068751036318921
Dry navy beans,0,6,10,0.6675814731957341,0.6675814731957341,0.62752658480399
Dry pinto beans,0,6,10,2.7420585576637047,2.7420585576637047,2.5775350442038825
Dry red kidney beans,0,6,10,0.309166527030585,0.309166527030585,0.2906165354087499
Other dry beans,0,6,10,1.437795006851688,1.437795006851688,1.3515273064405868
Added fats,0,20.844135137580693,22.099233692604358,84.43565237600345,84.43565237600345,66.83577089045143
All American cheese,0,6,15.696279186368214,13.245478811419973,13.245478811419973,12.450750082734775
All evaporated condensed milk,0,12,15,7.337901320795609,7.337901320795609,6.4573531623001355
All flavored milk,0,11.999999999999998,45.00000000000001,14.191396355638158,14.191396355638158,12.48842879296158
All Italian cheese,0,6,25.436267800673832,15.961791198507036,15.961791198507036,15.004083726596614
All plain milk,0,12,20.000000000000004,154.13038644341052,154.13038644341052,135.63474007020125
Canned fish and shellfish,0,6,18.17652495378928,3.4421880774344067,3.4421880774344067,3.2356567927883417
Canned fruit,21.346242195834073,6,10.704988678854551,13.163907301494739,10.344532493365255,9.723860543763339
Canned vegetables,51.79949656352074,6,21.305524097049798,92.87114237957117,44.764358174162744,42.078496683712984
Citrus juice,37.89597702952422,6,10,52.4220748077366,32.55665756159555,30.60325810789982
Corn sweeteners,0,11,34,60.93662625550142,60.93662625550142,54.23359736739627
Dairy fats,13.722169080086319,12,12.119131509930165,26.376865981534696,22.757387833520735,20.02650129349825
Dried fruit,76.04528659695372,6,21.440854451597716,9.300057885923511,2.2278022128903827,2.0941340801169597
Dry edible beans,0,6,10,6.687600695466461,6.687600695466461,6.286344653738474
Dry milk products,0,1,41.00000000000001,4.120592561039466,4.120592561039466,4.0793866354290715
Fresh citrus,3.7411960671812055,12.142934081827965,39.24411245474405,23.52581756198412,22.645670600582942,19.895821747166263
Fresh noncitrus,5.160763228257039,11.168534919881216,25.681602209655125,108.25786345192066,102.67093144319722,91.20409261239644
Fresh vegetables,7.760006004131334,9.843497704679963,26.77012276364313,188.86647688052935,174.21042693480896,157.06202755816787
Frozen berries,4.2689011920860125,6,25.283411574138096,2.844654753137854,3.0286456873290284,2.8469269460892868
Frozen dairy products,0,12,25.312821983038948,22.93672120991829,22.93672120991829,20.184314664728095
Frozen other fruit,19.824067997415302,6,32.11874466440877,1.7250957725331524,1.3831116135656434,1.3001249167517048
Frozen vegetables,48.782931115929244,5.999999999999999,19.391233371628587,70.30441071323123,36.00785846353566,33.84738695572352
Half and half and eggnog,40.7332737245364,12,15.156270681328397,8.885802237480618,5.266324089466656,4.6343651987306576
Noncitrus juice,25.361635500511607,6.000000000000001,10.174048041544843,32.43509287657815,24.209856760807334,22.757265355158893
other processed vegetables,80.20128015166111,6,4,32.691080175580844,6.472415379359102,6.084070456597556
Poultry,37.07642130567433,3.8785272639545894,18.65349127868399,110.01736531376905,69.22686344063322,66.54188066810767
Red meat,30.622722149905783,4.458164204601003,23.913461943078886,141.22016627766126,97.97470713881809,93.60683381559264
Total Corn Products,0,12,20,33.94010152284264,33.94010152284264,29.867289340101518
Total cottage cheese,0,12,16.302833779782887,2.2565101694308916,2.2565101694308916,1.9857289490991845
Total Fresh and Frozen Fish,0,8.966527706834446,40.00000000000001,10.463360985842666,10.463360985842666,9.525160823980976
Total honey and syrup,0,11.000000000000002,15,1.7346418001870834,1.7346418001870834,1.5438312021665042
Total miscellaneous cheese,0,5.999999999999999,43.828695790088204,3.163803144526485,3.163803144526485,2.973974955854896
Total tree nuts,0,6,18.679233843130334,4.202113762530216,4.202113762530216,3.949986936778403
Total wheat flour,0,12,20,134.32963000491924,134.32963000491924,118.21007440432894
All beverage milks,0,12,22.07125925494976,169.8316002962539,169.8316002962539,149.45180826070342
Caloric sweeteners,0,11,33.74502385392817,129.25991200082456,129.25991200082456,115.04132168073384
Fresh fruit,4.9073443087708695,11.344616317677344,28.11038253622772,131.78368101390478,125.31660204378016,111.09991435956269
Frozen fruit,14.087541873582074,6,27.426328315688156,4.569750525671006,4.4117573008946716,4.147051862840992
Juice,33.10495533112474,6,10.074228234824641,84.85716768431475,56.766514322402884,53.36052346305871
Total fats,3.2663079963002586,18.966500050595737,19.798274665798004,110.81251835753815,107.19304020952418,86.86227218394968
Total fish and shellfish,0,8.179827888243631,34.04693710017961,14.239587647501297,14.239587647501297,13.074813885940092
Total grains,0,12,21.20122234883823,194.50329546057026,194.50329546057026,171.16290000530182
Vegetables,31.49502511788626,8.497093811689261,23.820738346608994,391.4207108443791,268.14265964733295,245.35832630794042
Fruit,18.534247485648553,9.36453784443981,21.745040322250013,243.67456441130878,199.06720837333336,180.4254843093427
Total cheese,0,6,23.248487649921323,32.37107315445349,32.37107315445349,30.428808765186286
Total fluid milk,0,12,21.98952800297976,183.85904497137366,183.85904497137366,161.79595957480882
Total meat fish eggs nuts group,27.230589946060473,5.253689198008527,22.037955110993792,310.44088433426975,225.90600009628085,214.03760097156942
Total dairy products,1.3827064606777777,11.072033090763727,22.402673936803335,261.767645624492,258.1481674764781,229.56591695028223
prepared food,15.845404065327466,10.111735629080933,23.227000310041994,1641.8795310333826,1382.2202832643443,1242.4538224091202
